,0
0,-inf
1,-1.3578715968034777e+296
2,-1.2568621274432146e+297
3,-3.951120846546804e+296
4,-1.1836553887761127e+298
5,-1.6256974141506136e+295
6,-9.823013610659113e+297
7,-1.3960619548955203e+297
8,-8.072435302802103e+296
9,-4.156842572118417e+297
10,-1.3682739658375883e+295
11,-8.951049811625668e+297
12,-1.0416704779484248e+297
13,-3.427315151101936e+296
14,-2.904403368482038e+297
15,-1.3113036001525388e+294
16,-9.009975515368277e+297
17,-1.493929638563093e+297
18,-4.443059934475195e+296
19,-2.718748711998411e+297
20,-1.6149067984115563e+295
21,-1.0096878732159653e+298
22,-1.4293532824959862e+297
23,-8.310518769823522e+296
24,-4.37273662971816e+297
25,-4.156416711385631e+298
26,-9.941830452401771e+297
27,-1.6721473743635393e+298
28,-1.6386721374772225e+298
29,-2.3298029041570895e+297
30,-1.1110749813453657e+297
31,-5.058501844556453e+296
32,-4.694438943809768e+296
33,-1.196072708189935e+297
34,-2.487629096590919e+298
35,-2.538340312380726e+298
36,-3.838093527319367e+296
37,-4.297409547544147e+295
38,-5.102498796410128e+298
39,-6.440501934158294e+297
40,-7.221722683406212e+297
41,-7.713453873697887e+297
42,-8.197670915358387e+297
43,-7.313975465372963e+297
44,-7.480670313141615e+297
45,-7.143303890985287e+297
46,-7.185837277851171e+297
47,-6.943686602890528e+297
48,-7.098135286828637e+297
49,-7.577706977514388e+297
50,-7.957179561935189e+297
51,-7.452436048657359e+297
52,-7.296317320443394e+297
